elapsed time = 35.80 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 992.04 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1012.37 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1032.70 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1053.03 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1073.36 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1093.69 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 1114.02 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 1134.34 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 1154.67 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 1174.99 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 1195.32 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 1215.65 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 1235.97 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 1256.30 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 1276.63 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 1296.95 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 1317.28 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 1337.60 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 1357.92 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 1378.24 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 1398.56 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 1418.89 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 1438.74 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 1458.58 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 1478.43 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 1498.28 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 1518.13 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 1537.97 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 1557.82 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 1577.67 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 1597.52 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 1617.37 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 1637.21 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 1657.06 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 1676.91 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 1696.76 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 1716.61 | seconds power is 16 | number of threads is 1 | block size is 64
2048 1 thread done
elapsed time = 17.12 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 34.21 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 51.29 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 68.49 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 85.58 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 102.65 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 119.71 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 136.76 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 153.83 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 170.90 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 187.96 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 205.03 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 222.10 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 239.16 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 256.24 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 266.66 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 277.08 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 287.51 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 297.93 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 308.36 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 318.78 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 329.20 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 339.63 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 350.05 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 360.47 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 370.90 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 381.32 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 391.75 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 402.18 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 412.60 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 422.49 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 432.39 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 442.28 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 452.17 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 462.07 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 471.97 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 481.87 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 491.77 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 501.67 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 511.56 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 521.47 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 531.37 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 541.26 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 551.48 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 561.62 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 571.77 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 581.92 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 592.06 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 602.21 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 612.35 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 622.49 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 632.62 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 642.77 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 652.91 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 663.04 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 673.19 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 683.33 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 693.47 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 703.61 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 713.76 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 723.67 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 733.59 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 743.51 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 753.42 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 763.33 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 773.25 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 783.17 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 793.08 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 802.99 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 812.91 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 822.82 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 832.73 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 842.65 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 852.57 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 862.51 | seconds power is 16 | number of threads is 2 | block size is 64
2048 2 thread done
elapsed time = 8.25 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 16.44 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 24.62 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 32.78 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 40.95 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 49.13 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 57.31 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 65.57 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 73.84 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 82.11 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 90.42 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 98.68 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 106.95 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 115.21 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 123.47 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 129.06 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 134.57 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 140.06 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 145.57 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 151.07 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 156.74 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 162.28 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 167.86 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 173.37 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 178.97 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 184.54 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 190.12 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 195.63 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 201.23 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 206.81 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 212.17 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 217.54 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 222.92 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 228.37 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 233.79 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 239.22 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 244.65 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 250.06 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 255.47 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 260.90 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 266.31 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 271.73 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 277.16 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 282.53 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 287.90 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 293.30 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 298.71 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 304.12 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 309.53 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 314.94 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 320.35 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 325.76 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 331.16 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 336.57 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 341.98 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 347.39 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 352.80 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 358.21 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 363.62 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 369.02 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 374.30 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 379.58 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 384.85 | seconds power is 4 | number of threads is 4 | block size is 64
elapsed time = 390.13 | seconds power is 5 | number of threads is 4 | block size is 64
elapsed time = 395.41 | seconds power is 6 | number of threads is 4 | block size is 64
elapsed time = 400.69 | seconds power is 7 | number of threads is 4 | block size is 64
elapsed time = 405.97 | seconds power is 8 | number of threads is 4 | block size is 64
elapsed time = 411.24 | seconds power is 9 | number of threads is 4 | block size is 64
elapsed time = 416.52 | seconds power is 10 | number of threads is 4 | block size is 64
elapsed time = 421.80 | seconds power is 11 | number of threads is 4 | block size is 64
elapsed time = 427.08 | seconds power is 12 | number of threads is 4 | block size is 64
elapsed time = 432.36 | seconds power is 13 | number of threads is 4 | block size is 64
elapsed time = 437.63 | seconds power is 14 | number of threads is 4 | block size is 64
elapsed time = 442.91 | seconds power is 15 | number of threads is 4 | block size is 64
elapsed time = 448.19 | seconds power is 16 | number of threads is 4 | block size is 64
2048 4 thread done
elapsed time = 5.73 | seconds power is 2 | number of threads is 6 | block size is 4
elapsed time = 11.46 | seconds power is 3 | number of threads is 6 | block size is 4
elapsed time = 17.21 | seconds power is 4 | number of threads is 6 | block size is 4
elapsed time = 23.06 | seconds power is 5 | number of threads is 6 | block size is 4
elapsed time = 28.83 | seconds power is 6 | number of threads is 6 | block size is 4
elapsed time = 34.70 | seconds power is 7 | number of threads is 6 | block size is 4
elapsed time = 40.48 | seconds power is 8 | number of threads is 6 | block size is 4
elapsed time = 46.28 | seconds power is 9 | number of threads is 6 | block size is 4
elapsed time = 52.07 | seconds power is 10 | number of threads is 6 | block size is 4
elapsed time = 57.82 | seconds power is 11 | number of threads is 6 | block size is 4
elapsed time = 63.63 | seconds power is 12 | number of threads is 6 | block size is 4
elapsed time = 69.37 | seconds power is 13 | number of threads is 6 | block size is 4
elapsed time = 75.20 | seconds power is 14 | number of threads is 6 | block size is 4
elapsed time = 81.01 | seconds power is 15 | number of threads is 6 | block size is 4
elapsed time = 86.88 | seconds power is 16 | number of threads is 6 | block size is 4
elapsed time = 91.10 | seconds power is 2 | number of threads is 6 | block size is 8
elapsed time = 95.32 | seconds power is 3 | number of threads is 6 | block size is 8
elapsed time = 99.54 | seconds power is 4 | number of threads is 6 | block size is 8
elapsed time = 103.76 | seconds power is 5 | number of threads is 6 | block size is 8
elapsed time = 107.99 | seconds power is 6 | number of threads is 6 | block size is 8
elapsed time = 112.22 | seconds power is 7 | number of threads is 6 | block size is 8
elapsed time = 116.44 | seconds power is 8 | number of threads is 6 | block size is 8
elapsed time = 120.67 | seconds power is 9 | number of threads is 6 | block size is 8
elapsed time = 124.89 | seconds power is 10 | number of threads is 6 | block size is 8
elapsed time = 129.11 | seconds power is 11 | number of threads is 6 | block size is 8
elapsed time = 133.34 | seconds power is 12 | number of threads is 6 | block size is 8
elapsed time = 137.56 | seconds power is 13 | number of threads is 6 | block size is 8
elapsed time = 141.79 | seconds power is 14 | number of threads is 6 | block size is 8
elapsed time = 146.02 | seconds power is 15 | number of threads is 6 | block size is 8
elapsed time = 150.24 | seconds power is 16 | number of threads is 6 | block size is 8
elapsed time = 154.45 | seconds power is 2 | number of threads is 6 | block size is 16
elapsed time = 158.65 | seconds power is 3 | number of threads is 6 | block size is 16
elapsed time = 162.88 | seconds power is 4 | number of threads is 6 | block size is 16
elapsed time = 167.07 | seconds power is 5 | number of threads is 6 | block size is 16
elapsed time = 171.26 | seconds power is 6 | number of threads is 6 | block size is 16
elapsed time = 175.46 | seconds power is 7 | number of threads is 6 | block size is 16
elapsed time = 179.65 | seconds power is 8 | number of threads is 6 | block size is 16
elapsed time = 183.88 | seconds power is 9 | number of threads is 6 | block size is 16
elapsed time = 188.08 | seconds power is 10 | number of threads is 6 | block size is 16
elapsed time = 192.28 | seconds power is 11 | number of threads is 6 | block size is 16
elapsed time = 196.44 | seconds power is 12 | number of threads is 6 | block size is 16
elapsed time = 200.61 | seconds power is 13 | number of threads is 6 | block size is 16
elapsed time = 204.81 | seconds power is 14 | number of threads is 6 | block size is 16
elapsed time = 209.03 | seconds power is 15 | number of threads is 6 | block size is 16
elapsed time = 213.21 | seconds power is 16 | number of threads is 6 | block size is 16
elapsed time = 217.43 | seconds power is 2 | number of threads is 6 | block size is 32
elapsed time = 221.66 | seconds power is 3 | number of threads is 6 | block size is 32
elapsed time = 225.93 | seconds power is 4 | number of threads is 6 | block size is 32
elapsed time = 230.17 | seconds power is 5 | number of threads is 6 | block size is 32
elapsed time = 234.41 | seconds power is 6 | number of threads is 6 | block size is 32
elapsed time = 238.65 | seconds power is 7 | number of threads is 6 | block size is 32
elapsed time = 242.89 | seconds power is 8 | number of threads is 6 | block size is 32
elapsed time = 247.14 | seconds power is 9 | number of threads is 6 | block size is 32
elapsed time = 251.38 | seconds power is 10 | number of threads is 6 | block size is 32
elapsed time = 255.62 | seconds power is 11 | number of threads is 6 | block size is 32
elapsed time = 259.87 | seconds power is 12 | number of threads is 6 | block size is 32
elapsed time = 264.12 | seconds power is 13 | number of threads is 6 | block size is 32
elapsed time = 268.36 | seconds power is 14 | number of threads is 6 | block size is 32
elapsed time = 272.60 | seconds power is 15 | number of threads is 6 | block size is 32
elapsed time = 276.84 | seconds power is 16 | number of threads is 6 | block size is 32
elapsed time = 281.24 | seconds power is 2 | number of threads is 6 | block size is 64
elapsed time = 285.75 | seconds power is 3 | number of threads is 6 | block size is 64
elapsed time = 290.10 | seconds power is 4 | number of threads is 6 | block size is 64
elapsed time = 294.61 | seconds power is 5 | number of threads is 6 | block size is 64
elapsed time = 299.06 | seconds power is 6 | number of threads is 6 | block size is 64
elapsed time = 303.56 | seconds power is 7 | number of threads is 6 | block size is 64
elapsed time = 308.00 | seconds power is 8 | number of threads is 6 | block size is 64
elapsed time = 312.46 | seconds power is 9 | number of threads is 6 | block size is 64
elapsed time = 316.84 | seconds power is 10 | number of threads is 6 | block size is 64
elapsed time = 321.16 | seconds power is 11 | number of threads is 6 | block size is 64
elapsed time = 325.65 | seconds power is 12 | number of threads is 6 | block size is 64
elapsed time = 330.09 | seconds power is 13 | number of threads is 6 | block size is 64
elapsed time = 334.59 | seconds power is 14 | number of threads is 6 | block size is 64
elapsed time = 339.03 | seconds power is 15 | number of threads is 6 | block size is 64
elapsed time = 343.38 | seconds power is 16 | number of threads is 6 | block size is 64
2048 6 thread done
elapsed time = 4.68 | seconds power is 2 | number of threads is 8 | block size is 4
elapsed time = 9.43 | seconds power is 3 | number of threads is 8 | block size is 4
elapsed time = 14.17 | seconds power is 4 | number of threads is 8 | block size is 4
elapsed time = 18.91 | seconds power is 5 | number of threads is 8 | block size is 4
elapsed time = 23.65 | seconds power is 6 | number of threads is 8 | block size is 4
elapsed time = 28.39 | seconds power is 7 | number of threads is 8 | block size is 4
elapsed time = 33.13 | seconds power is 8 | number of threads is 8 | block size is 4
elapsed time = 37.86 | seconds power is 9 | number of threads is 8 | block size is 4
elapsed time = 42.60 | seconds power is 10 | number of threads is 8 | block size is 4
elapsed time = 47.34 | seconds power is 11 | number of threads is 8 | block size is 4
elapsed time = 52.08 | seconds power is 12 | number of threads is 8 | block size is 4
elapsed time = 56.82 | seconds power is 13 | number of threads is 8 | block size is 4
elapsed time = 61.56 | seconds power is 14 | number of threads is 8 | block size is 4
elapsed time = 66.31 | seconds power is 15 | number of threads is 8 | block size is 4
elapsed time = 71.06 | seconds power is 16 | number of threads is 8 | block size is 4
elapsed time = 74.63 | seconds power is 2 | number of threads is 8 | block size is 8
elapsed time = 78.22 | seconds power is 3 | number of threads is 8 | block size is 8
elapsed time = 81.82 | seconds power is 4 | number of threads is 8 | block size is 8
elapsed time = 85.39 | seconds power is 5 | number of threads is 8 | block size is 8
elapsed time = 88.92 | seconds power is 6 | number of threads is 8 | block size is 8
elapsed time = 92.53 | seconds power is 7 | number of threads is 8 | block size is 8
elapsed time = 96.14 | seconds power is 8 | number of threads is 8 | block size is 8
elapsed time = 99.75 | seconds power is 9 | number of threads is 8 | block size is 8
elapsed time = 103.36 | seconds power is 10 | number of threads is 8 | block size is 8
elapsed time = 106.98 | seconds power is 11 | number of threads is 8 | block size is 8
elapsed time = 110.58 | seconds power is 12 | number of threads is 8 | block size is 8
elapsed time = 114.18 | seconds power is 13 | number of threads is 8 | block size is 8
elapsed time = 117.79 | seconds power is 14 | number of threads is 8 | block size is 8
elapsed time = 121.39 | seconds power is 15 | number of threads is 8 | block size is 8
elapsed time = 125.00 | seconds power is 16 | number of threads is 8 | block size is 8
elapsed time = 128.49 | seconds power is 2 | number of threads is 8 | block size is 16
elapsed time = 131.95 | seconds power is 3 | number of threads is 8 | block size is 16
elapsed time = 135.44 | seconds power is 4 | number of threads is 8 | block size is 16
elapsed time = 138.93 | seconds power is 5 | number of threads is 8 | block size is 16
elapsed time = 142.39 | seconds power is 6 | number of threads is 8 | block size is 16
elapsed time = 145.88 | seconds power is 7 | number of threads is 8 | block size is 16
elapsed time = 149.36 | seconds power is 8 | number of threads is 8 | block size is 16
elapsed time = 152.86 | seconds power is 9 | number of threads is 8 | block size is 16
elapsed time = 156.35 | seconds power is 10 | number of threads is 8 | block size is 16
elapsed time = 159.85 | seconds power is 11 | number of threads is 8 | block size is 16
elapsed time = 163.36 | seconds power is 12 | number of threads is 8 | block size is 16
elapsed time = 166.82 | seconds power is 13 | number of threads is 8 | block size is 16
elapsed time = 170.28 | seconds power is 14 | number of threads is 8 | block size is 16
elapsed time = 173.75 | seconds power is 15 | number of threads is 8 | block size is 16
elapsed time = 177.25 | seconds power is 16 | number of threads is 8 | block size is 16
elapsed time = 180.77 | seconds power is 2 | number of threads is 8 | block size is 32
elapsed time = 184.25 | seconds power is 3 | number of threads is 8 | block size is 32
elapsed time = 187.76 | seconds power is 4 | number of threads is 8 | block size is 32
elapsed time = 191.28 | seconds power is 5 | number of threads is 8 | block size is 32
elapsed time = 194.78 | seconds power is 6 | number of threads is 8 | block size is 32
elapsed time = 198.29 | seconds power is 7 | number of threads is 8 | block size is 32
elapsed time = 201.79 | seconds power is 8 | number of threads is 8 | block size is 32
elapsed time = 205.29 | seconds power is 9 | number of threads is 8 | block size is 32
elapsed time = 208.79 | seconds power is 10 | number of threads is 8 | block size is 32
elapsed time = 212.35 | seconds power is 11 | number of threads is 8 | block size is 32
elapsed time = 215.88 | seconds power is 12 | number of threads is 8 | block size is 32
elapsed time = 219.38 | seconds power is 13 | number of threads is 8 | block size is 32
elapsed time = 222.88 | seconds power is 14 | number of threads is 8 | block size is 32
elapsed time = 226.39 | seconds power is 15 | number of threads is 8 | block size is 32
elapsed time = 229.89 | seconds power is 16 | number of threads is 8 | block size is 32
elapsed time = 233.28 | seconds power is 2 | number of threads is 8 | block size is 64
elapsed time = 236.65 | seconds power is 3 | number of threads is 8 | block size is 64
elapsed time = 240.05 | seconds power is 4 | number of threads is 8 | block size is 64
elapsed time = 243.48 | seconds power is 5 | number of threads is 8 | block size is 64
elapsed time = 246.91 | seconds power is 6 | number of threads is 8 | block size is 64
elapsed time = 250.29 | seconds power is 7 | number of threads is 8 | block size is 64
elapsed time = 253.67 | seconds power is 8 | number of threads is 8 | block size is 64
elapsed time = 257.05 | seconds power is 9 | number of threads is 8 | block size is 64
elapsed time = 260.44 | seconds power is 10 | number of threads is 8 | block size is 64
elapsed time = 263.85 | seconds power is 11 | number of threads is 8 | block size is 64
elapsed time = 267.27 | seconds power is 12 | number of threads is 8 | block size is 64
elapsed time = 270.65 | seconds power is 13 | number of threads is 8 | block size is 64
elapsed time = 274.04 | seconds power is 14 | number of threads is 8 | block size is 64
elapsed time = 277.45 | seconds power is 15 | number of threads is 8 | block size is 64
elapsed time = 280.87 | seconds power is 16 | number of threads is 8 | block size is 64
2048 8 thread done
elapsed time = 4.34 | seconds power is 2 | number of threads is 10 | block size is 4
elapsed time = 8.81 | seconds power is 3 | number of threads is 10 | block size is 4
elapsed time = 13.27 | seconds power is 4 | number of threads is 10 | block size is 4
elapsed time = 17.79 | seconds power is 5 | number of threads is 10 | block size is 4
elapsed time = 22.21 | seconds power is 6 | number of threads is 10 | block size is 4
elapsed time = 26.57 | seconds power is 7 | number of threads is 10 | block size is 4
elapsed time = 31.14 | seconds power is 8 | number of threads is 10 | block size is 4
elapsed time = 35.59 | seconds power is 9 | number of threads is 10 | block size is 4
elapsed time = 40.10 | seconds power is 10 | number of threads is 10 | block size is 4
elapsed time = 44.61 | seconds power is 11 | number of threads is 10 | block size is 4
